Vm name,Site url,integration_line_items
a1leasingllc,https://a1leasingllc.bigmachines.com,false
accenture2,https://accenture2.bigmachines.com,false
accenturellp,https://accenturellp.bigmachines.com,false
acosta,https://acosta.bigmachines.com,false
advanceddisposal,https://advanceddisposal.bigmachines.com,false
agco,https://agco.bigmachines.com,false
airborn,https://airborn.bigmachines.com,false
albazai,https://albazai.bigmachines.com,false
alsafycommunications,https://alsafycommunications.bigmachines.com,false
amarilosas,https://amarilosas.bigmachines.com,false
americahomeplace,https://americahomeplace.bigmachines.com,false
amerluxllc,https://amerluxllc.bigmachines.com,false
amil,https://amil.bigmachines.com,false
angolacables,https://angolacables.bigmachines.com,false
arcosa,https://arcosa.bigmachines.com,false
arrisgroup,https://arrisgroup.bigmachines.com,false
arterianet,https://arterianet.bigmachines.com,false
aseourbanosasesp,https://aseourbanosasesp.bigmachines.com,false
astec,https://astec.bigmachines.com,false
astecindustries,https://astecindustries.bigmachines.com,false
badersultan,https://badersultan.bigmachines.com,false
badgerinc,https://badgerinc.bigmachines.com,false
badgermeter,https://badgermeter.bigmachines.com,false
bd,https://bd.bigmachines.com,false
bd2,https://bd2.bigmachines.com,false
beckmancoulterdanaher,https://beckmancoulterdanaher.bigmachines.com,false
berdicosadecv,https://berdicosadecv.bigmachines.com,false
bfernandez,https://bfernandez.bigmachines.com,false
bkr,https://bkr.bigmachines.com,false
brightview,https://brightview.bigmachines.com,false
broadridge,https://broadridge.bigmachines.com,false
btu,https://btu.bigmachines.com,false
businesswireinc,https://businesswireinc.bigmachines.com,false
capgemini,https://capgemini.bigmachines.com,false
carefusion,https://carefusion.bigmachines.com,false
carverpump,https://carverpump.bigmachines.com,false
cdc,https://cdc.bigmachines.com,false
cefa,https://cefa.bigmachines.com,false
cefa2,https://cefa2.bigmachines.com,
celerosft,https://celerosft.bigmachines.com,false
cenmex,https://cenmex.bigmachines.com,false
championhomes,https://championhomes.bigmachines.com,false
cheefatt,https://cheefatt.bigmachines.com,false
circularedge,https://circularedge.bigmachines.com,false
cirruscpq,https://cirruscpq.bigmachines.com,false
cnunimed,https://cnunimed.bigmachines.com,false
colegios,https://colegios.bigmachines.com,false
concur,https://concur.bigmachines.com,false
constructionspec,https://constructionspec.bigmachines.com,false
coolsys,https://coolsys.bigmachines.com,false
cpicard,https://cpicard.bigmachines.com,false
cpqaccess,https://cpqaccess.bigmachines.com,false
cree,https://cree.bigmachines.com,false
cruzverde,https://cruzverde.bigmachines.com,false
csgroup,https://csgroup.bigmachines.com,false
cupagroup,https://cupagroup.bigmachines.com,false
data3,https://data3.bigmachines.com,false
deacsystems,https://deacsystems.bigmachines.com,false
delagelanden,https://delagelanden.bigmachines.com,false
deloitteconsulting2,https://deloitteconsulting2.bigmachines.com,false
deloitteconsulting4,https://deloitteconsulting4.bigmachines.com,false
deloittecpq,https://deloittecpq.bigmachines.com,false
diebold,https://diebold.bigmachines.com,false
dieboldnixdorf,https://dieboldnixdorf.bigmachines.com,false
directvar,https://directvar.bigmachines.com,false
dover,https://dover.bigmachines.com,false
dssinc,https://dssinc.bigmachines.com,false
dunnhumby,https://dunnhumby.bigmachines.com,false
duraflameinc,https://duraflameinc.bigmachines.com,false
ebara,https://ebara.bigmachines.com,false
elpc,https://elpc.bigmachines.com,false
emsertilellc,https://emsertilellc.bigmachines.com,false
entel,https://entel.bigmachines.com,false
entel2,https://entel2.bigmachines.com,false
eprize,https://eprize.bigmachines.com,false
epsa,https://epsa.bigmachines.com,false
equinixinc,https://quoting.equinix.com,false
eriinc,https://eriinc.bigmachines.com,false
esg,https://esg.bigmachines.com,false
esgari,https://esgari.bigmachines.com,false
expressotelecom,https://expressotelecom.bigmachines.com,false
extreme,https://extreme.bigmachines.com,false
fadv,https://fadv.bigmachines.com,false
farmacosesp,https://farmacosesp.bigmachines.com,false
fgamericainc,https://fgamericainc.bigmachines.com,false
fgiservicios,https://fgiservicios.bigmachines.com,false
fico,https://fico.bigmachines.com,false
fike,https://fike.bigmachines.com,false
finnet,https://finnet.bigmachines.com,false
fmr,https://fmr.bigmachines.com,false
fmsucpq,https://fmsucpq.bigmachines.com,false
formfactor,https://formfactor.bigmachines.com,false
fujibr,https://fujibr.bigmachines.com,false
furuyametal,https://furuyametal.bigmachines.com,false
fuyijiaju,https://fuyijiaju.bigmachines.com,false
gasnatural,https://gasnatural.bigmachines.com,false
gates,https://gates.bigmachines.com,false
ge,https://ge.bigmachines.com,false
ge2,https://ge.bigmachines.com,false
gecriticalpower,https://gecriticalpower.bigmachines.com,false
gedigital,https://gedigital.bigmachines.com,false
geip,https://geip.bigmachines.com,false
genpactprod,https://genpactprod.bigmachines.com,false
geog,https://geog.bigmachines.com,false
gig,https://gig.bigmachines.com,false
gloryltd,https://gloryltd.bigmachines.com,false
gpsps,https://gpsps.bigmachines.com,false
greenwayhealth,https://greenwayhealth.bigmachines.com,false
griffin,https://griffin.bigmachines.com,false
grupogim,https://grupogim.bigmachines.com,false
hikvision,https://hikvision.bigmachines.com,false
hitachivantara,https://hitachivantara.bigmachines.com,false
hogares,https://hogares.bigmachines.com,false
hogaresunion,https://hogaresunion.bigmachines.com,false
howmetinc,https://howmetinc.bigmachines.com,false
hpi,https://hpi.bigmachines.com,false
hwi,https://hwi.bigmachines.com,false
hypertherm,https://hypertherm.bigmachines.com,false
ibm,https://ibm.bigmachines.com,false
ibmcorp,https://ibmcorp.bigmachines.com,false
ibvi,https://ibvi.bigmachines.com,false
iccs,https://iccs.bigmachines.com,false
icontec,https://icontec.bigmachines.com,false
idexx,https://idexx.bigmachines.com,false
infosysllc,https://infosysllc.bigmachines.com,false
ingersollrand,https://ingersollrand.bigmachines.com,false
inmobilia,https://inmobilia.bigmachines.com,false
insperity,https://insperity.bigmachines.com,false
interfacesys,https://interfacesys.bigmachines.com,false
intergraph,https://intergraph.bigmachines.com,false
invacare,https://invacare.bigmachines.com,false
ircompany,https://ircompany.bigmachines.com,false
irindustrial,https://irindustrial.bigmachines.com,false
ixiacom,https://ixiacom.bigmachines.com,false
jaejsa,https://jaejsa.bigmachines.com,false
jameshardie,https://jameshardie.bigmachines.com,false
javitscenter,https://javitscenter.bigmachines.com,false
jci,https://jci.bigmachines.com,false
juniper,https://juniper.bigmachines.com,false
kohlerco,https://kohlerco.bigmachines.com,false
kohlerpower,https://kohlerpower.bigmachines.com,false
