SITENAME,wmIntegrateUsers,wmConnectionMethod
accenturellp,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
acosta,wmIntegrateUsers=No,wmConnectionMethod=httpPost
advanceddisposal,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
agco,wmIntegrateUsers=No,wmConnectionMethod=httpPost
airborn,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
albazai,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
alsafycommunications,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
amarilosas,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
americahomeplace,wmIntegrateUsers=No,wmConnectionMethod=httpPost
amerluxllc,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
amil,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
angolacables,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
arcosa,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
arrisgroup,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
aseourbanosasesp,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
badersultan,wmIntegrateUsers=Yes,wmConnectionMethod=WebMethods
badgermeter,wmIntegrateUsers=No,wmConnectionMethod=httpPost
bd,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
bd2,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
beckmancoulterdanaher,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
berdicosadecv,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
betalasermike,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
bkr,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
brightview,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
broadridge,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
btu,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
businesswireinc,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
capgemini,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
carefusion,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
carverpump,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
cdc,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
cefa,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
cefa2,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
cenmex,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
cheefatt,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
circularedge,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
cirruscpq,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
cnunimed,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
colegios,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
concur,wmIntegrateUsers=No,wmConnectionMethod=httpPost
constructionspec,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
coolsys,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
cpicard,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
cpqaccess,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
cree,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
cruzverde,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
csgroup,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
data3,wmIntegrateUsers=No,wmConnectionMethod=httpPost
deacsystems,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
delagelanden,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
deloitteconsulting2,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
deloitteconsulting4,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
deloittecpq,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
diebold,wmIntegrateUsers=Yes,wmConnectionMethod=httpPost
dieboldnixdorf,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
directvar,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
dunnhumby,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
duraflameinc,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
ebara,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
emsertilellc,wmIntegrateUsers=Yes,wmConnectionMethod=WebMethods
eprize,wmIntegrateUsers=No,wmConnectionMethod=httpPost
epsa,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
equinixinc,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
eriinc,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
esg,wmIntegrateUsers=No,wmConnectionMethod=httpPost
esgari,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
expressotelecom,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
extreme,wmIntegrateUsers=No,wmConnectionMethod=httpPost
fadv,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
farmacosesp,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
fgiservicios,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
fico,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
fike,wmIntegrateUsers=No,wmConnectionMethod=httpPost
fmr,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
fmsucpq,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
formfactor,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
fujibr,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
fuyijiaju,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
gasnatural,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
gates,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
ge,wmIntegrateUsers=No,wmConnectionMethod=httpPost
ge2,grep: /bmfsweb/ge2/global/wmIntegration.ini: No such file or directory,grep: /bmfsweb/ge2/global/wmIntegration.ini: No such file or directory
gecriticalpower,wmIntegrateUsers=Yes,wmConnectionMethod=httpPost
gedigital,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
geip,wmIntegrateUsers=No,wmConnectionMethod=httpPost
genpactprod,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
geog,wmIntegrateUsers=No,wmConnectionMethod=httpPost
gig,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
gloryltd,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
gpsps,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
greenwayhealth,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
griffin,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
grupogim,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
hikvision,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
hogares,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
hogaresunion,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
howmetinc,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
hpi,wmIntegrateUsers=No,wmConnectionMethod=httpPost
hwi,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
ibm,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
ibmcorp,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
ibvi,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
iccs,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
icontec,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
idexx,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
infosysllc,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
inmobilia,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
insperity,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
intergraph,wmIntegrateUsers=No,wmConnectionMethod=httpPost
invacare,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
ircompany,wmIntegrateUsers=No,wmConnectionMethod=httpPost
ixiacom,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
jaejsa,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
jameshardie,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
javitscenter,wmIntegrateUsers=No,wmConnectionMethod=httpPost
jci,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
juniper,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
kohlerpower,wmIntegrateUsers=Yes,wmConnectionMethod=WebMethods
komorius,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
kpmg,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
kpmg2,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
kpsgloballlc,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
lenovous,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
leviton,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
lexmark,wmIntegrateUsers=No,wmConnectionMethod=httpPost
lionbridge,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
mcneilus,wmIntegrateUsers=No,wmConnectionMethod=httpPost
meltwater,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
mercantilseguros,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
mercurymarine,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
mhc,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
milacron,wmIntegrateUsers=No,wmConnectionMethod=httpPost
miltonroy,wmIntegrateUsers=No,wmConnectionMethod=httpPost
mitutoyo,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
mmaxcpq,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
mms,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
necam,wmIntegrateUsers=No,wmConnectionMethod=httpPost
newscycle,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
nextgen,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
novacomp,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
novgp,wmIntegrateUsers=No,wmConnectionMethod=httpPost
nowtvsales,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
ntamexico,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
ocupa,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
ocupaholdings,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
oneworkplace,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
opcionesadmin,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
optifinsapidecv,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
osi,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
ozco,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
panduit,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
panhp,wmIntegrateUsers=No,wmConnectionMethod=httpPost
paychexinc,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
piramidal,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
plantronics,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
plantronicsinc,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
polycomcpq,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
prd27-bastion,-bash: /bigmac/container-setup/runInContainer.sh: No such file or directory,-bash: /bigmac/container-setup/runInContainer.sh: No such file or directory
pridemobility,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
prodesp,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
promega,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
prosegur2,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
prosegurglobalus,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
pwc,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
quantum,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
quimica,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
quimica2,wmIntegrateUsers=Yes,wmConnectionMethod=httpPost
ramirezysanchez,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
rapiscan,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
raymondcorp,wmIntegrateUsers=No,wmConnectionMethod=httpPost
redhat,wmIntegrateUsers=Yes,wmConnectionMethod=WebMethods
republicservices,wmIntegrateUsers=No,wmConnectionMethod=httpPost
ricoh,wmIntegrateUsers=Yes,wmConnectionMethod=httpPost
ricohhk,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
rotometrics,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
rsacanada,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
safari,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
sankyofrontier,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
sbsi,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
schenck,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
schneider,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
seacoastmedical,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
securitases,wmIntegrateUsers=Yes,wmConnectionMethod=httpPost
