SITENAME,wmIntegrateUsers,wmConnectionMethod
acc1vodafonede,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
accenturellptest1,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
acostadev1,wmIntegrateUsers=No,wmConnectionMethod=httpPost
acostatest1,wmIntegrateUsers=No,wmConnectionMethod=httpPost
acostatrn,wmIntegrateUsers=No,wmConnectionMethod=httpPost
advanceddisposaldev,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
advanceddisposalqa,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
advanceddisposaltest,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
airborntest1,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
alsafytest1,wmIntegrateUsers=Yes,wmConnectionMethod=httpPost
amarilosastest1,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
amarilosastest2,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
americahomeplacetest1,wmIntegrateUsers=No,wmConnectionMethod=httpPost
amerluxllc-test1,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
amerluxllc-test2,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
amerluxllc-test3,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
amildev1,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
amiltest1,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
archiverepublicservices,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
arcosastage,wmIntegrateUsers=Yes,wmConnectionMethod=WebMethods
arcosatest,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
arrisgrouptest1,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
arrisgrouptest2,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
arrisgrouptest3,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
aseourbanosasesptest1,wmIntegrateUsers=Yes,wmConnectionMethod=WebMethods
badersultantest1,wmIntegrateUsers=Yes,wmConnectionMethod=WebMethods
berdicosadecvtest,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
brightviewdev,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
brightviewtest,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
brightviewtest2,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
broadridgetest,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
btutest1,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
businesswireinctest,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
capgeminitest,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
carverpumptest1,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
cefa2test,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
cenmextest1,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
chartertest7,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
chartertest8,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
chartertest9,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
cheefatttest1,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
circularedgetest1,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
cirruscpqdev1,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
cirruscpqtest1,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
cnunimedtest1,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
colegiostest,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
colegiostest2,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
constructionspecdev,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
constructionspectest,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
coolsystest,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
coolsystest2,wmIntegrateUsers=Yes,wmConnectionMethod=WebMethods
cpicardtest,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
cpicardtest1,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
cpqaccesstest,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
cpqqaspectrum,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
cpqsrtspectrum,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
creedev1,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
creestage,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
creetest1,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
cruzverdetest1,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
dbdconfig1,wmIntegrateUsers=Yes,wmConnectionMethod=httpPost
dbdconfig2,wmIntegrateUsers=Yes,wmConnectionMethod=httpPost
deacsystemstest1,wmIntegrateUsers=Yes,wmConnectionMethod=httpPost
delagelandentest1,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
deloitteconsulting2test,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
deloitteconsulting4test1,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
deloittecpqtest,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
dev-fmr,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
dev-nowtvsales,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
dev01ibm,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
dev02ibm,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
dev1dunnhumby,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
dev1spectrum,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
dev2bd,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
dev2ge,wmIntegrateUsers=No,wmConnectionMethod=httpPost
dev2panhp,wmIntegrateUsers=No,wmConnectionMethod=httpPost
dev2republicservices,wmIntegrateUsers=No,wmConnectionMethod=httpPost
dev2rsacanada,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
dev2schneider,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
dev2spectrum,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
dev2stryker,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
dev2tylertech,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
dev2vodafonede,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
dev3rsacanada,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
dev3spectrum,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
dev3vodafonede,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
devagco,wmIntegrateUsers=No,wmConnectionMethod=httpPost
devbadgermeter,wmIntegrateUsers=No,wmConnectionMethod=httpPost
devbd,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
devbeckmancoulterdanaher,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
devcarefusion,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
devcdc,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
devcefa,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
devconcur,wmIntegrateUsers=No,wmConnectionMethod=httpPost
devcsgroup,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
devdata3,wmIntegrateUsers=No,wmConnectionMethod=httpPost
devdiebold,wmIntegrateUsers=Yes,wmConnectionMethod=httpPost
devdunnhumby,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
devesg,wmIntegrateUsers=No,wmConnectionMethod=httpPost
devextreme,wmIntegrateUsers=No,wmConnectionMethod=httpPost
devfico,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
devfike,wmIntegrateUsers=No,wmConnectionMethod=httpPost
devge,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
devgeip,wmIntegrateUsers=No,wmConnectionMethod=httpPost
devidexx,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
devinsperity,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
devintergraph,wmIntegrateUsers=No,wmConnectionMethod=httpPost
devjameshardie,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
devjavitscenter,wmIntegrateUsers=No,wmConnectionMethod=httpPost
devleviton,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
devlexmark,wmIntegrateUsers=No,wmConnectionMethod=httpPost
devmcneilus,wmIntegrateUsers=No,wmConnectionMethod=httpPost
devmhc,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
devmilacron,wmIntegrateUsers=No,wmConnectionMethod=httpPost
devmms,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
devnextgen,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
devnovgp,wmIntegrateUsers=Yes,wmConnectionMethod=httpPost
devpanduit,wmIntegrateUsers=No,wmConnectionMethod=httpPost
devpanhp,wmIntegrateUsers=No,wmConnectionMethod=httpPost
devplantronics,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
devpolycom,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
devquantum,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
devraymondcorp,wmIntegrateUsers=No,wmConnectionMethod=httpPost
devredhat,wmIntegrateUsers=Yes,wmConnectionMethod=WebMethods
devrepublicservices,wmIntegrateUsers=No,wmConnectionMethod=httpPost
devrsacanada,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
devschenck,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
devschneider,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
devsfdcrepublicservices,wmIntegrateUsers=No,wmConnectionMethod=httpPost
devsiemensenergy,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
devsprint,wmIntegrateUsers=No,wmConnectionMethod=httpPost
devstryker,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
devsunquest,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
devtektronix,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
devthomsonreuters,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
devtrimble,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
devtylertech,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
devvanguardgroup,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
devvanguardgroup2,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
devvantiv,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
devvodafonede,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
devvodafonenl,wmIntegrateUsers=Yes,wmConnectionMethod=WebMethods
devwaterquote,wmIntegrateUsers=No,wmConnectionMethod=httpPost
devwedogeo,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
devxcpq,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
devxeroxemea,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
devxyleminc,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
dieboldnixdorftest1,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
dieboldnixdorftest2,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
dieboldnixdorftest3,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
directvartest1,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
directvartest2,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
directvartest3,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
directvartest4,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
duraflameinctest1,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
duraflameinctest2,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
dv-arcsymc,wmIntegrateUsers=No,wmConnectionMethod=httpPost
dv-dev1symc,wmIntegrateUsers=No,wmConnectionMethod=httpPost
dv-dev1vrts,wmIntegrateUsers=No,wmConnectionMethod=httpPost
dv-dev2symc,wmIntegrateUsers=No,wmConnectionMethod=WebMethods
dv-qa1symc,wmIntegrateUsers=No,wmConnectionMethod=httpPost
dv-qa1vrts,wmIntegrateUsers=No,wmConnectionMethod=httpPost
dv-stgsymc-i01,grep: /bmfsweb/dv-stgsymc-i01/global/wmIntegration.ini: No such file or directory,grep: /bmfsweb/dv-stgsymc-i01/global/wmIntegration.ini: No such file or directory
dv-stgsymc-i02,grep: /bmfsweb/dv-stgsymc-i02/global/wmIntegration.ini: No such file or directory,grep: /bmfsweb/dv-stgsymc-i02/global/wmIntegration.ini: No such file or directory
dv-uat2vrts,wmIntegrateUsers=No,wmConnectionMethod=httpPost
